Inlet Air Temperature (°C),Inlet Air Humidity (%),Feed Flow Rate (mL/min),Atomization Pressure (bar),Coconut Milk Solids Content (%),Moisture Content of Dried Powder (%),Particle Size Distribution (μm)
192.8837122852029,63.62467530575176,90.91138495304645,5.241135835738902,11.957351306226819,3.7838177938747917,67.75011187837441
166.06545211310623,47.49278184056216,87.93332241700486,19.17026490290923,11.779200774998523,2.6227913196655566,19.32488848426617
161.57165481663486,33.500969512342465,169.71539691402805,13.022623661898333,18.045903694685578,4.920912733619757,93.95248488483858
237.0185247074902,59.529830645753634,75.98095351772335,12.136792101179758,19.336196334593144,2.282817485667773,64.75355370263722
188.4436434445436,64.86337882284843,131.34536768691572,19.977948884646054,14.427250882671263,4.070579407572684,81.3504211382167
154.41239427184502,40.8551474588308,141.3452581167619,19.223646917320117,14.786778049896405,2.4278445578033256,29.804495593194286
226.31992811271044,44.37670134441926,69.08136519547253,17.340702622057048,14.748558979760043,4.807109640323632,84.94611645464084
193.59688381879462,69.53026302127267,156.53917763763397,18.656950473735428,15.666299719614152,1.5375051384128176,58.787252062535764
197.61594626799848,59.564414213176654,172.5849082590331,16.923249282669243,14.471000819181455,3.4817371035351874,67.5461394982379
237.6665579348502,37.03099874319818,62.64704979916108,9.231654498137011,13.72491257124269,4.015618086948555,10.30472810205549
222.56822848598114,79.32198910917079,140.06811054603637,14.467753597980776,12.809074326920822,4.598013079810823,93.85818259840556
162.6435942013273,65.77246257056596,174.3187593648592,5.691364197724832,16.93393143254437,1.6137766696532818,66.88226747391195
225.0890337301629,67.61518665138573,163.38473700047075,5.301672824965264,15.262029061879032,1.329010605092905,72.23209259895594
249.36944635821047,53.2389510006567,50.82578016771171,15.992236031392022,14.691362803320958,4.129235302293446,88.28744318614794
191.80686592674073,56.209593886880405,196.4214421580606,14.535183430737046,14.557321895331299,1.5466688090285783,97.21779493507779
191.3524735915561,68.24134540998108,111.46697821891067,15.182430263448811,16.453150138051864,4.950714477777417,57.012546186190896
243.55180664875417,33.93969924356779,182.79494515191547,19.484824582061126,18.269427760267575,2.8772816117009317,52.06670258296416
193.88461196751027,45.29595352762715,68.72317435600733,19.891486663926663,16.828279549457882,3.0278705596568414,43.804385302779906
